feature,pearson_correlation,n_pairs,abs_pearson_correlation
modal_ratio,-0.11334755655167635,1601,0.11334755655167635
confidence_score,0.10137007477780693,1601,0.10137007477780693
message_length_chars,0.10087409681197139,1601,0.10087409681197139
num_uppercase_chars,-0.0980708870415832,1601,0.0980708870415832
num_modal_verbs,-0.0860005537747264,1601,0.0860005537747264
num_assertive,0.08168685742123534,1601,0.08168685742123534
message_length_words,0.08167189015161055,1601,0.08167189015161055
hedge_ratio,-0.07730555412630914,1601,0.07730555412630914
num_hedges,-0.0713987543442562,1601,0.0713987543442562
assertive_ratio,0.059676377459076585,1601,0.059676377459076585
avg_word_length,0.04078764013183078,1601,0.04078764013183078
words_per_sentence,0.03960196322459635,1601,0.03960196322459635
num_questions,-0.03896042117014433,1601,0.03896042117014433
question_ratio,-0.031606004317603235,1601,0.031606004317603235
num_politeness,-0.019189840409784283,1601,0.019189840409784283
has_question,-0.009475609498254866,1601,0.009475609498254866
num_sentences,0.008287197513658615,1601,0.008287197513658615
num_meta_conversation,-0.007787650744161379,1601,0.007787650744161379
num_first_person_pronouns,0.007130178824407585,1601,0.007130178824407585
num_digits,,1601,
