feature,pearson_correlation,n_pairs,abs_pearson_correlation
num_modal_verbs,-0.09066421935382177,1601,0.09066421935382177
modal_ratio,-0.08319193622193367,1601,0.08319193622193367
num_first_person_pronouns,-0.0826108164205963,1601,0.0826108164205963
num_assertive,-0.07843159471604377,1601,0.07843159471604377
assertive_ratio,-0.07534652172314035,1601,0.07534652172314035
num_uppercase_chars,-0.06272123249941501,1601,0.06272123249941501
message_length_chars,-0.04686860714688832,1601,0.04686860714688832
num_hedges,-0.03477325861979149,1601,0.03477325861979149
message_length_words,-0.03330864672891537,1601,0.03330864672891537
avg_word_length,-0.03168497908299939,1601,0.03168497908299939
confidence_score,-0.030251388449779863,1601,0.030251388449779863
hedge_ratio,-0.02156255581944006,1601,0.02156255581944006
num_sentences,-0.019483386051209438,1601,0.019483386051209438
words_per_sentence,-0.012179104985004413,1601,0.012179104985004413
num_politeness,0.011212503553353256,1601,0.011212503553353256
has_question,-0.009486209173133173,1601,0.009486209173133173
num_meta_conversation,-0.008671124007954898,1601,0.008671124007954898
question_ratio,-0.006145009231701462,1601,0.006145009231701462
num_questions,-0.002201759844311633,1601,0.002201759844311633
num_digits,,1601,
