stimulus_block,n_responses,top_contribution_speaker,top_contribution_count,top_knowledge_speaker,top_knowledge_count,top_trust_speaker,top_trust_count,balance_mean
1,16,Speaker C,14,Speaker C,14,Speaker C,13,2.875
2,16,Speaker E,12,Speaker B,13,Speaker E,9,3.438
3,16,Speaker G,14,Speaker C,13,Speaker G,10,3.688
4,16,Speaker E,13,Speaker F,14,Speaker E,8,3.75
5,16,Speaker F,13,Speaker B,11,Speaker F,11,3.5
6,16,Speaker C,13,Speaker C,12,Speaker E,8,3.625
7,16,Speaker B,14,Speaker C,14,Speaker B,14,3.312
8,16,Speaker F,14,Speaker G,13,Speaker F,10,3.562
9,16,Speaker B,14,Speaker C,10,Speaker B,13,3.625
10,16,Speaker F,13,Speaker B,11,Speaker F,10,3.75
11,16,Speaker A,14,Speaker A,10,Speaker A,12,3.688
12,16,Speaker B,15,Speaker C,16,Speaker B,12,3.625
13,16,Speaker G,13,Speaker F,11,Speaker G,10,3.625
14,16,Speaker C,13,Speaker C,10,Speaker C,12,3.562
15,16,Speaker C,15,Speaker C,10,Speaker C,13,2.75
16,16,Speaker A,15,Speaker A,10,Speaker A,13,3.562
17,16,Speaker B,14,Speaker B,10,Speaker B,11,3.688
18,16,Speaker F,14,Speaker G,11,Speaker F,10,3.562
19,16,Speaker A,14,Speaker G,13,Speaker A,10,3.625
20,16,Speaker C,14,Speaker G,14,Speaker C,10,3.688
21,16,Speaker C,15,Speaker F,14,Speaker C,12,3.562
22,16,Speaker C,14,Speaker G,14,Speaker C,12,3.562
23,16,Speaker C,14,Speaker A,12,Speaker C,12,3.625
24,16,Speaker C,15,Speaker C,13,Speaker C,12,2.875
25,16,Speaker C,15,Speaker C,14,Speaker C,14,2.562
