feature,coefficient,abs_coefficient,odds_ratio
cat__speaker_E,0.21502011684488714,0.21502011684488714,1.2398868393264046
cat__speaker_D,-0.2119332781280291,0.2119332781280291,0.8090186750061977
cat__speaker_G,-0.14035116873180412,0.14035116873180412,0.8690529975679252
num__num_hedges,-0.12701817491114287,0.12701817491114287,0.8807176654863813
num__has_question,-0.09568498561223461,0.09568498561223461,0.9087502403845568
cat__speaker_F,0.06679571444591456,0.06679571444591456,1.0690770588660745
cat__speaker_B,0.06176791443254528,0.06176791443254528,1.0637154430757703
cat__speaker_A,-0.053993979524799285,0.053993979524799285,0.9474378105104703
cat__speaker_C,0.04286068973569414,0.04286068973569414,1.0437924737161255
num__num_first_person_pronouns,-0.03540955808692015,0.03540955808692015,0.9652100257237864
num__message_length_chars,-0.02331999877876103,0.02331999877876103,0.9769498110020612
num__num_politeness,0.022484646052000925,0.022484646052000925,1.022739330957389
num__message_length_words,0.01880836423139832,0.01880836423139832,1.018986355671985
num__num_uppercase_chars,-0.018445832707888143,0.018445832707888143,0.9817232504416623
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
