feature,coefficient,abs_coefficient,odds_ratio
num__num_uppercase_chars,-0.9017582719350705,0.9017582719350705,0.4058554278092113
cat__speaker_B,-0.8829347542428141,0.8829347542428141,0.41356741024308297
cat__speaker_C,0.7810663365046823,0.7810663365046823,2.1837996896970084
cat__speaker_A,0.3177344125834116,0.3177344125834116,1.3740112926545969
num__message_length_chars,0.310954271240866,0.310954271240866,1.3647268124955438
num__has_question,0.20996223343164283,0.20996223343164283,1.233631469049756
cat__speaker_F,-0.18935270013335173,0.18935270013335173,0.827494597764621
cat__speaker_D,-0.1491760330105511,0.1491760330105511,0.8614174636420701
num__num_first_person_pronouns,0.03414645725647435,0.03414645725647435,1.0347361402475308
num__num_hedges,-0.03360686450739615,0.03360686450739615,0.9669515729063871
cat__speaker_E,0.025186387156612408,0.025186387156612408,1.0255062439052935
num__num_politeness,-0.019213647791433464,0.019213647791433464,0.9809697578306199
cat__speaker_G,-0.015360470314249681,0.015360470314249681,0.9847568999870883
num__message_length_words,-0.009875462513815091,0.009875462513815091,0.990173139744611
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
