feature,coefficient,abs_coefficient,odds_ratio
cat__speaker_E,-0.7093993630575958,0.7093993630575958,0.4919395858301818
cat__speaker_C,0.5898030362027235,0.5898030362027235,1.8036331299796484
cat__speaker_B,0.4229851003473018,0.4229851003473018,1.5265115513050591
num__message_length_chars,-0.4091164721695332,0.4091164721695332,0.6642368627081173
cat__speaker_D,-0.331493731906619,0.331493731906619,0.7178506557575774
num__num_first_person_pronouns,-0.3237745594648927,0.3237745594648927,0.7234133106819131
num__num_hedges,-0.2823718337411307,0.2823718337411307,0.753993272263735
num__message_length_words,0.27949337821192216,0.27949337821192216,1.3224596557183577
cat__speaker_G,-0.2236596276891218,0.2236596276891218,0.799587245415676
num__has_question,0.18744388916500962,0.18744388916500962,1.2061625687333228
num__num_uppercase_chars,-0.12301293444412756,0.12301293444412756,0.8842522251758517
cat__speaker_A,0.09250515514383066,0.09250515514383066,1.0969187963198939
cat__speaker_F,0.07020484576707268,0.07020484576707268,1.0727279025190144
num__num_politeness,-0.034071804240291714,0.034071804240291714,0.9665021031966172
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
